Timestamp,Presiune1_Valva1,Presiune2_Valva1,Presiune1_Valva2,Presiune2_Valva2,Presiune1_Valva3,Presiune2_Valva3,Presiune1_Valva4,Presiune2_Valva4,pre_input,ex_0,Label
1778161372478,2157,782,1434,1029,9,49,12,4,2463,400,5
1778161372538,2117,769,1434,1029,7,51,8,3,2463,400,5
1778161372598,2158,750,1434,1029,9,47,10,3,2463,400,5
1778161372678,2175,705,1436,1030,9,48,11,4,2463,400,5
1778161372718,2145,648,1434,1029,7,47,8,3,2463,400,5
1778161372778,2278,255,1436,1029,6,48,10,3,2463,400,5
1778161372838,2346,51,1436,1029,7,49,12,3,2463,400,5
1778161372918,2369,0,1434,1029,6,47,10,3,2463,400,5
1778161372958,2370,65534,1436,1029,7,51,12,1,2463,400,5
1778161372998,2375,65532,1436,1028,6,49,12,3,2463,400,5
1778161373059,2383,65531,1434,1029,4,47,10,4,2463,400,5
1778161373118,2385,65532,1436,1030,7,48,12,3,2463,400,5
1778161373198,2389,65532,1434,1029,7,44,11,3,2463,400,5
1778161373258,2391,65534,1436,1028,6,49,12,3,2463,400,5
1778161373338,2390,65531,1433,1029,6,48,11,3,2463,400,5
1778161373358,2393,65532,1434,1030,6,48,8,1,2463,400,5
1778161373438,2393,65531,1436,1029,7,47,10,0,2463,400,5
1778161373478,2393,65531,1436,1028,7,44,12,3,2463,400,5
1778161373558,2394,65531,1436,1030,5,49,12,3,2463,400,5
1778161373578,2393,65531,1433,1030,6,48,10,4,2463,400,5
1778161373658,2394,65531,1434,1030,7,48,12,3,2463,400,5
1778161373698,2391,18,1434,1029,6,51,12,3,2463,400,5
1778161373778,1992,2348,1434,1029,6,48,8,3,2463,400,5
1778161373798,1908,2340,1434,1029,5,47,8,3,2463,400,5
1778161373878,1557,2369,1436,1029,7,48,7,3,2463,400,5
1778161373918,1403,2353,1434,1029,9,48,12,4,2463,400,5
1778161373978,1209,2274,1434,1029,6,44,14,5,2463,400,5
1778161374058,1013,2273,1436,1029,9,49,12,3,2463,400,5
1778161374078,977,2255,1433,1029,6,48,10,4,2463,400,5
1778161374158,864,2184,1436,1029,6,49,10,4,2463,400,5
1778161374218,840,2253,1436,1029,6,47,10,4,2463,400,5
1778161374258,818,2124,1436,1030,7,49,11,4,2463,400,5
1778161374318,799,2117,1434,1029,5,49,8,3,2463,400,5
1778161374378,771,2183,1436,1029,7,49,10,3,2463,400,5
1778161374438,738,2278,1433,1029,6,45,10,0,2463,400,5
1778161374518,714,2243,1436,1030,7,47,10,3,2463,400,5
1778161374558,704,2141,1434,1029,9,45,12,5,2463,400,5
1778161374618,619,2128,1436,1030,9,48,10,3,2463,400,5
1778161374698,473,2163,1434,1029,6,47,8,0,2463,400,5
1778161374738,246,2320,1436,1028,5,51,8,4,2463,400,5
1778161374778,96,2337,1434,1029,9,48,5,65533,2463,400,5
1778161374838,15,2353,1436,1030,5,49,8,4,2463,400,5
1778161374918,2,2358,1434,1029,6,49,12,3,2463,400,5
1778161374958,0,2358,1434,1029,7,48,8,3,2463,400,5
1778161374998,1,2361,1434,1029,7,49,12,3,2463,400,5
